question,real_answer,model_answer,retrieved_context,bert_score,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,cosine_similarity,latency_sec,gpu_usage_gb,cpu_usage_gb,model_name
Who proposed the first model of artificial neurons in 1943?,Warren McCulloch and Walter Pitts proposed the first model of artificial neurons in 1943.,Warren McCulloch and Walter Pitts in 1943 proposed the first model of artificial neurons.,"ne by 
Warren McCulloch and Walter pits in 1943. They proposed a model 
of artificial neurons. 
o Year 1949: Donald Hebb demonstrated an updating rule for modifying the 
connection strength between neurons. His rule is now called Hebbian 
learning. 
o Year 1950: The Alan Turing who was an English mathematician and 
pioneered Machine learning in 1950. Alan Turing publishes ""Computing 
Machinery and Intelligence"" in which he proposed a test. The test can 
check the machine's ability to exhibit int

elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo

History of Artificial Intelligence 
Artificial Intelligence is not a new word and not a new technology for researchers. 
This technology is much older than you would imagine. Even there are the myths 
of Mechanical men in Ancient Greek and Egyptian Myths. Following are some 
milestones in the history of AI which defines the journey from the AI generation to 
till date development. 
Maturation of Artificial Intelligence (1943-1952) 
o Year 1943: The first work which is now recognized as AI was do",1.0,1.0,0.8461538461538461,0.8571428571428571,0.99,6.37,3.26,0.48,llama3.2:latest
What is the name of the rule proposed by Donald Hebb in 1949 to modify the connection strength between neurons?,The rule proposed by Donald Hebb is called Hebbian learning.,The rule proposed by Donald Hebb in 1949 to modify the connection strength between neurons is called Hebbian learning.,"ne by 
Warren McCulloch and Walter pits in 1943. They proposed a model 
of artificial neurons. 
o Year 1949: Donald Hebb demonstrated an updating rule for modifying the 
connection strength between neurons. His rule is now called Hebbian 
learning. 
o Year 1950: The Alan Turing who was an English mathematician and 
pioneered Machine learning in 1950. Alan Turing publishes ""Computing 
Machinery and Intelligence"" in which he proposed a test. The test can 
check the machine's ability to exhibit int

ere programmed that emulate the decision-making ability 
of a human expert. 
o In the Year 1980, the first national conference of the American Association 
of Artificial Intelligence was held at Stanford University. 
The second AI winter (1987-1993) 
o The duration between the years 1987 to 1993 was the second AI Winter 
duration. 
o Again Investors and government stopped in funding for AI research as due 
to high cost but not efficient result. The expert system such as XCON was 
very cost effec

elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo",0.95,0.6896551724137931,0.5925925925925926,0.6896551724137931,0.79,4.75,0.36,0.22,llama3.2:latest
What test did Alan Turing propose in 1950 to measure a machine's ability to exhibit intelligent behavior?,Alan Turing proposed the Turing test in 1950.,"According to the text, Alan Turing proposed a test in 1950 to measure a machine's ability to exhibit intelligent behavior, known as the Turing test.","ne by 
Warren McCulloch and Walter pits in 1943. They proposed a model 
of artificial neurons. 
o Year 1949: Donald Hebb demonstrated an updating rule for modifying the 
connection strength between neurons. His rule is now called Hebbian 
learning. 
o Year 1950: The Alan Turing who was an English mathematician and 
pioneered Machine learning in 1950. Alan Turing publishes ""Computing 
Machinery and Intelligence"" in which he proposed a test. The test can 
check the machine's ability to exhibit int

elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo

History of Artificial Intelligence 
Artificial Intelligence is not a new word and not a new technology for researchers. 
This technology is much older than you would imagine. Even there are the myths 
of Mechanical men in Ancient Greek and Egyptian Myths. Following are some 
milestones in the history of AI which defines the journey from the AI generation to 
till date development. 
Maturation of Artificial Intelligence (1943-1952) 
o Year 1943: The first work which is now recognized as AI was do",0.92,0.47058823529411764,0.375,0.3529411764705882,0.88,4.83,0.36,0.14,llama3.2:latest
What was the name of the first artificial intelligence program created by Allen Newell and Herbert A. Simon in 1955?,The first artificial intelligence program was named 'Logic Theorist.',"The first artificial intelligence program created by Allen Newell and Herbert A. Simon in 1955 was named ""Logic Theorist"".","elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo

uth Conference. For the 
first time, AI coined as an academic field. 
At that time high-level computer languages such as FORTRAN, LISP, or COBOL 
were invented. And the enthusiasm for AI was very high at that time. 
The golden years-Early enthusiasm (1956-1974) 
o Year 1966: The researchers emphasized developing algorithms which can 
solve mathematical problems. Joseph Weizenbaum created the first chatbot 
in 1966, which was named as ELIZA. 
o Year 1972: The first intelligent humanoid robot was 

ne by 
Warren McCulloch and Walter pits in 1943. They proposed a model 
of artificial neurons. 
o Year 1949: Donald Hebb demonstrated an updating rule for modifying the 
connection strength between neurons. His rule is now called Hebbian 
learning. 
o Year 1950: The Alan Turing who was an English mathematician and 
pioneered Machine learning in 1950. Alan Turing publishes ""Computing 
Machinery and Intelligence"" in which he proposed a test. The test can 
check the machine's ability to exhibit int",0.94,0.6428571428571429,0.5384615384615385,0.6428571428571429,0.94,5.09,0.36,0.21,llama3.2:latest
When was the term 'Artificial Intelligence' first coined as an academic field?,The term 'Artificial Intelligence' was first coined at the Dartmouth Conference in 1956 by John McCarthy.,"The term 'Artificial Intelligence' was first coined as an academic field in 1956, when American Computer scientist John McCarthy adopted the word at the Dartmouth Conference.","elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo

ne by 
Warren McCulloch and Walter pits in 1943. They proposed a model 
of artificial neurons. 
o Year 1949: Donald Hebb demonstrated an updating rule for modifying the 
connection strength between neurons. His rule is now called Hebbian 
learning. 
o Year 1950: The Alan Turing who was an English mathematician and 
pioneered Machine learning in 1950. Alan Turing publishes ""Computing 
Machinery and Intelligence"" in which he proposed a test. The test can 
check the machine's ability to exhibit int

History of Artificial Intelligence 
Artificial Intelligence is not a new word and not a new technology for researchers. 
This technology is much older than you would imagine. Even there are the myths 
of Mechanical men in Ancient Greek and Egyptian Myths. Following are some 
milestones in the history of AI which defines the journey from the AI generation to 
till date development. 
Maturation of Artificial Intelligence (1943-1952) 
o Year 1943: The first work which is now recognized as AI was do",0.95,0.7142857142857143,0.5499999999999999,0.5238095238095238,0.96,4.88,0.36,0.12,llama3.2:latest
What was the name of the first chatbot created by Joseph Weizenbaum in 1966?,The first chatbot created by Joseph Weizenbaum was named ELIZA.,The first chatbot created by Joseph Weizenbaum in 1966 was named ELIZA.,"uth Conference. For the 
first time, AI coined as an academic field. 
At that time high-level computer languages such as FORTRAN, LISP, or COBOL 
were invented. And the enthusiasm for AI was very high at that time. 
The golden years-Early enthusiasm (1956-1974) 
o Year 1966: The researchers emphasized developing algorithms which can 
solve mathematical problems. Joseph Weizenbaum created the first chatbot 
in 1966, which was named as ELIZA. 
o Year 1972: The first intelligent humanoid robot was 

elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo

ne by 
Warren McCulloch and Walter pits in 1943. They proposed a model 
of artificial neurons. 
o Year 1949: Donald Hebb demonstrated an updating rule for modifying the 
connection strength between neurons. His rule is now called Hebbian 
learning. 
o Year 1950: The Alan Turing who was an English mathematician and 
pioneered Machine learning in 1950. Alan Turing publishes ""Computing 
Machinery and Intelligence"" in which he proposed a test. The test can 
check the machine's ability to exhibit int",0.99,0.9090909090909091,0.7999999999999999,0.9090909090909091,0.97,5.04,0.36,0.18,llama3.2:latest
What was the name of the first intelligent humanoid robot built in Japan in 1972?,The first intelligent humanoid robot built in Japan was named WABOT-1.,"The answer is not explicitly stated in the provided text, but based on the information given, it can be inferred that the year 1972 refers to the development of the first intelligent humanoid robot built in Japan.

However, the specific name of the robot is not mentioned in the text.","uth Conference. For the 
first time, AI coined as an academic field. 
At that time high-level computer languages such as FORTRAN, LISP, or COBOL 
were invented. And the enthusiasm for AI was very high at that time. 
The golden years-Early enthusiasm (1956-1974) 
o Year 1966: The researchers emphasized developing algorithms which can 
solve mathematical problems. Joseph Weizenbaum created the first chatbot 
in 1966, which was named as ELIZA. 
o Year 1972: The first intelligent humanoid robot was 

elligent behavior equivalent to 
human intelligence, called a Turing test. 
The birth of Artificial Intelligence (1952-1956) 
o Year 1955: An Allen Newell and Herbert A. Simon created the ""first 
artificial intelligence program""Which was named as ""Logic Theorist"". This 
program had proved 38 of 52 Mathematics theorems, and find new and more 
elegant proofs for some theorems. 
o Year 1956: The word ""Artificial Intelligence"" first adopted by American 
Computer scientist John McCarthy at the Dartmo

History of Artificial Intelligence 
Artificial Intelligence is not a new word and not a new technology for researchers. 
This technology is much older than you would imagine. Even there are the myths 
of Mechanical men in Ancient Greek and Egyptian Myths. Following are some 
milestones in the history of AI which defines the journey from the AI generation to 
till date development. 
Maturation of Artificial Intelligence (1943-1952) 
o Year 1943: The first work which is now recognized as AI was do",0.88,0.2903225806451613,0.23333333333333328,0.2903225806451613,0.65,5.57,0.36,0.47,llama3.2:latest
What event marked the first AI Winter between 1974 and 1980?,"The first AI Winter was marked by a severe shortage of government funding for AI research, leading to a decline in interest.","The event that marked the first AI Winter between 1974 and 1980 is the creation of WABOT-1, a built-in Japan robot that is named as WABOT-1.","built in Japan which 
was named as WABOT-1. 
The first AI winter (1974-1980) 
o The duration between years 1974 to 1980 was the first AI winter duration. 
AI winter refers to the time period where computer scientist dealt with a 
severe shortage of funding from government for AI researches. 
o During AI winters, an interest of publicity on artificial intelligence was 
decreased. 
A boom of AI (1980-1987) 
o Year 1980: After AI winter duration, AI came back with ""Expert System"". 
Expert systems w

ere programmed that emulate the decision-making ability 
of a human expert. 
o In the Year 1980, the first national conference of the American Association 
of Artificial Intelligence was held at Stanford University. 
The second AI winter (1987-1993) 
o The duration between the years 1987 to 1993 was the second AI Winter 
duration. 
o Again Investors and government stopped in funding for AI research as due 
to high cost but not efficient result. The expert system such as XCON was 
very cost effec

uth Conference. For the 
first time, AI coined as an academic field. 
At that time high-level computer languages such as FORTRAN, LISP, or COBOL 
were invented. And the enthusiasm for AI was very high at that time. 
The golden years-Early enthusiasm (1956-1974) 
o Year 1966: The researchers emphasized developing algorithms which can 
solve mathematical problems. Joseph Weizenbaum created the first chatbot 
in 1966, which was named as ELIZA. 
o Year 1972: The first intelligent humanoid robot was ",0.88,0.3137254901960784,0.12244897959183672,0.27450980392156865,0.46,5.05,0.36,0.15,llama3.2:latest
"Which IBM computer beat the world chess champion, Garry Kasparov, in 1997?",IBM's Deep Blue beat Garry Kasparov in 1997.,"IBM Deep Blue beat Garry Kasparov in 1997, becoming the first computer to defeat a world chess champion.","tive. 
The emergence of intelligent agents (1993-2011) 
o Year 1997: In the year 1997, IBM Deep Blue beats world chess champion, 
Gary Kasparov, and became the first computer to beat a world chess 
champion. 
o Year 2002: for the first time, AI entered the home in the form of Roomba, a 
vacuum cleaner. 
o Year 2006: AI came in the Business world till the year 2006. Companies 
like Facebook, Twitter, and Netflix also started using AI. 
Deep learning, big data and artificial general intelligence (

2011-present) 
o Year 2011: In the year 2011, IBM's Watson won jeopardy, a quiz show, 
where it had to solve the complex questions as well as riddles. Watson had 
proved that it could understand natural language and can solve tricky 
questions quickly. 
o Year 2012: Google has launched an Android app feature ""Google now"", 
which was able to provide information to the user as a prediction. 
o Year 2014: In the year 2014, Chatbot ""Eugene Goostman"" won a 
competition in the infamous ""Turing test."" 

ere programmed that emulate the decision-making ability 
of a human expert. 
o In the Year 1980, the first national conference of the American Association 
of Artificial Intelligence was held at Stanford University. 
The second AI winter (1987-1993) 
o The duration between the years 1987 to 1993 was the second AI Winter 
duration. 
o Again Investors and government stopped in funding for AI research as due 
to high cost but not efficient result. The expert system such as XCON was 
very cost effec",0.91,0.5925925925925926,0.48,0.5925925925925926,0.88,4.75,0.36,0.18,llama3.2:latest
What was the significance of IBMâ€™s Watson winning Jeopardy in 2011?,IBM's Watson winning Jeopardy in 2011 demonstrated that AI could understand natural language and solve complex questions quickly.,"The significance of IBM's Watson winning Jeopardy in 2011 was that it demonstrated the ability to understand natural language and solve complex questions quickly, showcasing a major breakthrough in artificial intelligence (AI). This achievement marked a significant milestone in the development of AI, as it showed that machines could not only process vast amounts of data but also comprehend and respond to human-like queries.

This event was particularly notable because Jeopardy is a highly demanding test of AI capabilities, requiring systems to be able to understand nuances of language, context, and reasoning. Watson's victory on the show demonstrated its ability to excel in these areas, setting a new standard for AI performance.

The impact of Watson's win was felt beyond the realm of entertainment, as it sparked further investment and research into AI, leading to significant advancements in the field over the past decade. Today, AI systems like Watson, Google Assistant, and others have become ubiquitous, transforming industries and revolutionizing the way we live and work.","2011-present) 
o Year 2011: In the year 2011, IBM's Watson won jeopardy, a quiz show, 
where it had to solve the complex questions as well as riddles. Watson had 
proved that it could understand natural language and can solve tricky 
questions quickly. 
o Year 2012: Google has launched an Android app feature ""Google now"", 
which was able to provide information to the user as a prediction. 
o Year 2014: In the year 2014, Chatbot ""Eugene Goostman"" won a 
competition in the infamous ""Turing test."" 


o Year 2018: The ""Project Debater"" from IBM debated on complex topics 
with two master debaters and also performed extremely well. 
o Google has demonstrated an AI program ""Duplex"" which was a virtual 
assistant and which had taken hairdresser appointment on call, and lady on 
other side didn't notice that she was talking with the machine. 
Now AI has developed to a remarkable level. The concept of Deep learning, big 
data, and data science are now trending like a boom. Nowadays companies like 


Google, Facebook, IBM, and Amazon are working with AI and creating amazing 
devices. The future of Artificial Intelligence is inspiring and will come with high 
intelligence. 
 
",0.89,0.20105820105820105,0.13903743315508021,0.1693121693121693,0.86,7.16,0.36,0.15,llama3.2:latest
