Phytochemical,Link
auricularic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%09auricularic+acid
d-glucose,https://neist.res.in/osadhi/phytodetail.php?phyto=%09d-glucose
EUDESMANE,https://neist.res.in/osadhi/phytodetail.php?phyto=%09EUDESMANE
orientin,https://neist.res.in/osadhi/phytodetail.php?phyto=%09orientin
oxalic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%09oxalic+acid
vitexin,https://neist.res.in/osadhi/phytodetail.php?phyto=%09vitexin
15-O-acetylbruceolide,https://neist.res.in/osadhi/phytodetail.php?phyto=%0A15-O-acetylbruceolide
amataine,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Aamataine
Clauraila B,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AClauraila+B
cleistanthin A,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Acleistanthin+A
delavirdine,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Adelavirdine
dicerandrol C,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Adicerandrol+C
gaboroquinone A,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Agaboroquinone+A
gigantetronenin,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Agigantetronenin
Girinimbine,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AGirinimbine
isoderrone,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Aisoderrone
isowighteone,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Aisowighteone
isowighteone hydrate,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Aisowighteone+hydrate
L-arabinitol,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AL-arabinitol
L-cysteic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AL-cysteic+acid
L-homocysteinate,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AL-homocysteinate
Leubethanol,https://neist.res.in/osadhi/phytodetail.php?phyto=%0ALeubethanol
lippiolic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Alippiolic+acid
Lonijaposide E,https://neist.res.in/osadhi/phytodetail.php?phyto=%0ALonijaposide+E
Madecassoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AMadecassoside
Officinoic acid B,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AOfficinoic+acid+B
"p-mentha-1,3,8-triene",https://neist.res.in/osadhi/phytodetail.php?phyto=%0Ap-mentha-1%2C3%2C8-triene
sesquicannabigerol,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Asesquicannabigerol
stemofoline,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Astemofoline
tuberonic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%0Atuberonic+acid
Vitexin 2''-O-beta-L-rhamnoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%0AVitexin+2%27%27-O-beta-L-rhamnoside
bruceolide,https://neist.res.in/osadhi/phytodetail.php?phyto=+%0Abruceolide
cannabigerol,https://neist.res.in/osadhi/phytodetail.php?phyto=+%0Acannabigerol
combretol,https://neist.res.in/osadhi/phytodetail.php?phyto=+%0Acombretol
kaempferol,https://neist.res.in/osadhi/phytodetail.php?phyto=+%0Akaempferol
rubiarbonol K,https://neist.res.in/osadhi/phytodetail.php?phyto=+%0Arubiarbonol+K
wrightiamine A,https://neist.res.in/osadhi/phytodetail.php?phyto=+%0Awrightiamine+A
(+)-7-ISOJASMONIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28%2B%29-7-ISOJASMONIC-ACID
(+)-CALAMUSENONE,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28%2B%29-CALAMUSENONE
(+)-LIMONENE,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28%2B%29-LIMONENE
(+)-PIPERITENONE-OXIDE,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28%2B%29-PIPERITENONE-OXIDE
(+)-PSEUDOCOCAINE,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28%2B%29-PSEUDOCOCAINE
(-)-ALPHA-HYDROXYCITRIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28-%29-ALPHA-HYDROXYCITRIC-ACID
(-)-BETA-CURCUMENE,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28-%29-BETA-CURCUMENE
"(1R,2R,3S,6S,10S,11S,13S,14S)-11-(1-Hydroxypropan-2-yl)-3,7,10-trimethyl-15-oxapentacyclo[7.5.1.02,6.07,13.010,14]pentadecane-3,9,14-triol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%281R%2C2R%2C3S%2C6S%2C10S%2C11S%2C13S%2C14S%29-11-%281-Hydroxypropan-2-yl%29-3%2C7%2C10-trimethyl-15-oxapentacyclo%5B7.5.1.02%2C6.07%2C13.010%2C14%5Dpentadecane-3%2C9%2C14-triol
"(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-ol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%281R%2C4R%2C4aR%2C6S%2C8aR%29-1%2C6-dimethyl-4-propan-2-yl-3%2C4%2C4a%2C5%2C6%2C7%2C8%2C8a-octahydro-2H-naphthalen-1-ol
"(1S,4As,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+%281S%2C4As%2C10aR%29-1%2C4a-dimethyl-7-propan-2-yl-2%2C3%2C4%2C9%2C10%2C10a-hexahydrophenanthrene-1-carboxylic+acid
