Phytochemicals,Link
"((1R,2S,5R,6S)-5-(Benzoyloxy)-1,2,6-trihydroxycyclohex-3-en-1-yl)methyl benzoate","https://cb.imsc.res.in/imppat/phytochemicalplants/((1R,2S,5R,6S)-5-(Benzoyloxy)-1,2,6-trihydroxycyclohex-3-en-1-yl)methyl%20benzoate"
"((1R,4S,5R)-1-Methyl-4-(prop-1-en-2-yl)spiro[4.5]dec-7-en-8-yl)methanol","https://cb.imsc.res.in/imppat/phytochemicalplants/((1R,4S,5R)-1-Methyl-4-(prop-1-en-2-yl)spiro[4.5]dec-7-en-8-yl)methanol"
"((1R,6S)-2-((2S,3R,4R,5S,6S)-3,4,5,6-tetrahydroxy-6-(hydroxymethyl)oxan-2-yl)oxy-3-oxabicyclo(4.3.0)nona-4,8-dien-9-yl)methyl benzoate","https://cb.imsc.res.in/imppat/phytochemicalplants/((1R,6S)-2-((2S,3R,4R,5S,6S)-3,4,5,6-tetrahydroxy-6-(hydroxymethyl)oxan-2-yl)oxy-3-oxabicyclo(4.3.0)nona-4,8-dien-9-yl)methyl%20benzoate"
"((1S,5R,6S)-5-(Benzoyloxy)-1,6-dihydroxy-2-oxocyclohex-3-en-1-yl)methyl benzoate","https://cb.imsc.res.in/imppat/phytochemicalplants/((1S,5R,6S)-5-(Benzoyloxy)-1,6-dihydroxy-2-oxocyclohex-3-en-1-yl)methyl%20benzoate"
"((4aS,8S,8aR)-8-Isopropyl-5-methyl-3,4,4a,7,8,8a-hexahydronaphthalen-2-yl)methanol","https://cb.imsc.res.in/imppat/phytochemicalplants/((4aS,8S,8aR)-8-Isopropyl-5-methyl-3,4,4a,7,8,8a-hexahydronaphthalen-2-yl)methanol"
"(+)-1,2-Didehydropinidinol","https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-1,2-Didehydropinidinol"
(+)-11-Isolupanine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-11-Isolupanine
(+)-13alpha-Hydroxylupanine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-13alpha-Hydroxylupanine
(+)-16-Gammaceren-3beta-ol,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-16-Gammaceren-3beta-ol
"(+)-2,3,9-Trimethoxypterocarpan","https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-2,3,9-Trimethoxypterocarpan"
"(+)-3-Carene, 10-(acetylmethyl)-","https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-3-Carene,%2010-(acetylmethyl)-"
(+)-5-Epi-aristolochene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-5-Epi-aristolochene
"(+)-6-Hydroxy-2,6-dimethyl-7-octen-4-one","https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-6-Hydroxy-2,6-dimethyl-7-octen-4-one"
(+)-7-iso-Jasmonic acid,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-7-iso-Jasmonic%20acid
(+)-Abscisic acid,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Abscisic%20acid
(+)-Adlumine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Adlumine
(+)-Alangimaridine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Alangimaridine
(+)-alpha-Barbatene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Barbatene
(+)-alpha-Cadinene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Cadinene
(+)-alpha-Funebrene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Funebrene
(+)-alpha-Gurjunene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Gurjunene
(+)-alpha-Muurolene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Muurolene
(+)-alpha-Phellandrene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Phellandrene
(+)-alpha-Pinene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Pinene
(+)-alpha-Terpineol,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Terpineol
(+)-alpha-Thujone,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Thujone
(+)-alpha-Vetivone,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-alpha-Vetivone
(+)-Arglabin,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Arglabin
(+)-Arnicenone,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Arnicenone
(+)-beta-Phellandrene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-beta-Phellandrene
(+)-beta-Pinene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-beta-Pinene
(+)-Borneol,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Borneol
(+)-Camphene,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Camphene
(+)-Catechin gallate,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Catechin%20gallate
(+)-Catechin-(4alpha->8)-(-)-epigallocatechin,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Catechin-(4alpha->8)-(-)-epigallocatechin
(+)-cis-Carveol,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-cis-Carveol
(+)-cis-Sabinol,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-cis-Sabinol
(+)-Condylocarpine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Condylocarpine
(+)-Corlumine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Corlumine
(+)-Corypalmine,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Corypalmine
(+)-Cucurbic acid,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Cucurbic%20acid
(+)-Curcumenol,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Curcumenol
(+)-Dehydrogeosmin,https://cb.imsc.res.in/imppat/phytochemicalplants/(+)-Dehydrogeosmin
