,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
0,Abelmoschus esculentus,Plantae,Malvaceae,Angiosperms,Ladies Finger,"Hibiscus esculentus, Abelmoschus esculentus","Ayurveda, Siddha, Unani",
1,Abelmoschus ficulneus,Plantae,Malvaceae,Angiosperms,White Wild Musk Mallow,"Hibiscus ficulneus, Abelmoschus ficulneus","Ayurveda, Siddha",Least Concern
2,Abelmoschus manihot,Plantae,Malvaceae,Angiosperms,Sweet Hibiscus,"Hibiscus manihot, Abelmoschus manihot",,
3,Abelmoschus moschatus,Plantae,Malvaceae,Angiosperms,Pink Swamp Mallow,"Hibiscus abelmoschus, Abelmoschus moschatus, Abelmoschus moschatu","Ayurveda, Siddha, Unani",
4,Abies alba,Plantae,Pinaceae,Gymnosperms,,Abies alba,,Least Concern
5,Abies balsamea,Plantae,Pinaceae,Gymnosperms,,Abies balsamea,,Least Concern
6,Abies grandis,Plantae,Pinaceae,Gymnosperms,,Abies grandis,,Least Concern
7,Abies nephrolepis,Plantae,Pinaceae,Gymnosperms,,Abies nephrolepis,,Least Concern
8,Abies pindrow,Plantae,Pinaceae,Gymnosperms,West-Himalayan Silver Fir,Abies pindrow,"Ayurveda, Unani",Least Concern
9,Abies pinsapo,Plantae,Pinaceae,Gymnosperms,,Abies pinsapo,,Endangered
10,Abies spectabilis,Plantae,Pinaceae,Gymnosperms,Himalayan Silver Fir,"Abies webbiana, Abies spectabilis","Ayurveda, Siddha, Sowa Rigpa, Unani",Near Threatened
11,Abroma augusta,Plantae,Malvaceae,Angiosperms,Devil's Cotton,Abroma augusta,"Ayurveda, Siddha, Unani",
12,Abrus precatorius,Plantae,Leguminosae,Angiosperms,Rosary Pea,"Abrus precatorius, Abrus precatorious, Abies precatorius","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
13,Abutilon grandifolium,Plantae,Malvaceae,Angiosperms,,Abutilon grandifolium,Siddha,
14,Abutilon hirtum,Plantae,Malvaceae,Angiosperms,Hairy Indian Mallow,"Abutilon graveolens, Abutilon hirtum",Ayurveda,
15,Abutilon indicum,Plantae,Malvaceae,Angiosperms,Indian Mallow,"Abutilon indicum, Abutilon asiaticum, Abutilion indicum","Ayurveda, Siddha, Unani",
16,Abutilon pannosum,Plantae,Malvaceae,Angiosperms,Ragged Mallow,"Abutilon glaucum, Abutilon muticum, Abutilon pannosum",,
17,Abutilon ramosum,Plantae,Malvaceae,Angiosperms,Sticky Indian Mallow,Abutilon ramosum,,
18,Abutilon theophrasti,Plantae,Malvaceae,Angiosperms,Buttonweed,"Abutilon theophrastii, Abutilon theophrasti","Ayurveda, Siddha",
19,Acacia aroma,Plantae,Leguminosae,Angiosperms,,Acacia aroma,,
20,Acacia auriculiformis,Plantae,Leguminosae,Angiosperms,Earleaf Acacia,"Acacia auriculiformis, Acacia auriculaeformis",,Least Concern
21,Acacia caesia,Plantae,Leguminosae,Angiosperms,,"Acacia intsia, Acacia cuesia, Acacia caesia",Ayurveda,
