S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2018-19,Total Revenue (Rs. Lakh) - 2017-18,Total Revenue (Rs. Lakh) - 2016-17,Total Cost (Rs. Lakh) - 2018-19,Total Cost (Rs. Lakh) - 2017-18,Total Cost (Rs. Lakh) - 2016-17,Net Profit/Loss (Rs. Lakh) - 2018-19,Net Profit/Loss (Rs. Lakh) - 2017-18,Net Profit/Loss (Rs. Lakh) - 2016-17,Profit before Tax (Rs. Lakh) - 2018-19,Profit before Tax (Rs. Lakh) - 2017-18,Profit before Tax (Rs. Lakh) - 2016-17
1,Andhra Pradesh SRTC,612584.00,567188.00,540624.00,708712.00,687727.00,619617.00,-96128.00,-120539.00,-78993.00,-51374.00,-75917.00,-36630.00
2,Assam STC,17500.97,16481.30,11704.23,20642.61,20388.81,19490.80,-3141.64,-3907.51,-7786.57,-3138.89,-3904.88,-7784.71
3,Bangalore Metropolitan TC,229329.55,222699.51,210610.41,264278.29,244460.19,236701.41,-34948.74,-21760.68,-26091.00,-24697.10,-11916.08,-16212.33
4,Bihar SRTC,108641.84,5652.63,4366.18,8766.88,7341.18,5352.72,99874.96,-1688.55,-986.54,99966.51,-1626.67,-967.38
5,Delhi TC,271089.59,289834.73,247110.11,797004.14,727752.93,630321.27,-525914.55,-437918.20,-383211.16,-523309.72,-435642.69,-381298.63
6,Gujarat SRTC,289847.34,260357.09,262262.22,355747.05,318446.87,303151.51,-65899.71,-58089.78,-40889.29,-43059.28,-37979.00,-20281.14
7,Himachal RTC,111662.00,106614.00,94550.54,127141.00,118471.00,104077.97,-15479.00,-11857.00,-9527.43,-5801.00,-1903.00,-1290.26
8,Jammu and Kashmir SRTC,12869.74,13526.46,12805.12,21313.60,93677.26,15744.79,-8443.86,-80150.80,-2939.67,-7533.62,-78555.73,-2174.55
9,Karnataka SRTC ,372435.32,348828.84,317351.17,385928.47,348378.84,335058.78,-13493.15,450.00,-17707.61,3842.10,16904.55,-2577.63
10,Kerala SRTC,211262.00,203071.00,186111.00,336532.50,404811.64,364373.12,-125270.50,-201740.64,-178262.12,-125270.50,-201740.64,-178262.12
11,Maharashtra SRTC,812022.60,716800.49,705633.00,906940.10,819626.82,759990.02,-94917.50,-102826.33,-54357.02,20760.90,2642.88,46453.58
12,Meghalaya STC,1346.23,1140.14,1317.67,1780.00,1839.00,1463.65,-433.77,-698.86,-145.98,-424.77,-689.86,-139.63
13,North Bengal STC,17228.18,14818.02,13365.94,34230.75,31151.54,28440.96,-17002.57,-16333.52,-15075.02,-16920.63,-16304.55,-15060.10
14,North Eastern Karnataka RTC,179069.61,163544.37,151942.27,185892.97,166874.95,157388.25,-6823.36,-3330.58,-5445.98,974.35,4081.27,1497.97
15,North Western Karnataka RTC,202760.33,188444.89,174037.58,211666.98,195642.42,185993.53,-8906.65,-7197.53,-11955.95,-188.14,964.15,-4613.18
16,Odisha SRTC,11731.36,10582.26,9939.14,11534.68,10313.35,9685.32,196.68,268.91,253.82,975.55,947.51,832.03
17,Pepsu RTC,71943.87,59351.48,50500.21,62309.04,55735.82,52287.82,9634.83,3615.66,-1787.61,15893.31,9914.62,6359.23
18,Rajasthan SRTC,216241.94,219335.94,177324.79,223834.50,230842.16,389081.52,-7592.56,-11506.22,-211756.73,7363.91,14847.35,-190012.32
19,South Bengal STC,24944.07,21332.42,18773.28,34436.22,27371.18,23908.16,-9492.15,-6038.76,-5134.88,-8253.45,-5095.62,-4307.34
20,Telangana SRTC,491911.80,463640.78,429571.19,584778.27,538525.51,504498.99,-92866.47,-74884.73,-74927.80,-59931.59,-44081.69,-47806.80
21,Tripura RTC,39.25,46.34,50.52,0.00,0.00,0.00,39.25,46.34,50.52,39.25,46.34,50.52
22,Uttar Pradesh SRTC ,460138.29,446281.00,396747.88,456153.19,434011.77,387028.46,3985.10,12269.23,9719.42,55286.07,62598.36,54386.61
23,Uttarakhand  TC,56595.95,55899.78,49568.26,60053.91,58201.45,51503.44,-3457.96,-2301.67,-1935.18,-367.24,928.36,827.45
24,West Bengal Surface Transport Corp.,32576.00,39503.00,34522.00,44924.00,45384.00,45337.00,-12348.00,-5881.00,-10815.00,-12348.00,-5881.00,-10815.00
NA,TOTAL Corporations,4815771.83,4434974.47,4100788.71,5844601.15,5586975.69,5230496.49,-1028829.32,-1152001.22,-1129707.78,-677515.98,-807363.02,-809825.73
25,Kadamba TC Ltd.,20098.64,16968.69,16704.33,22386.64,18072.19,17057.43,-2288.00,-1103.50,-353.10,-2007.96,-855.11,-123.72
26,Metro TC (Chennai) Limited,153723.36,139492.85,139570.24,219832.06,212538.54,191518.24,-66108.70,-73045.69,-51948.00,-65106.00,-71852.77,-50804.59
27,PUNBUS,58436.18,50442.48,49473.57,57922.50,50036.05,48939.56,513.68,406.43,534.01,8697.56,8725.27,7821.32
28,State Exp.TC TN Ltd.,70859.96,68668.25,68001.69,99967.59,94176.92,85738.67,-29107.63,-25508.67,-17736.98,-23615.49,-20103.00,-12505.56
